                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5963,                 1.8691,                 1.4341,                0.54222,                0.50769,                0.50307,                0.26804,                 1.4364,                 2.0706,                 1.5798,               0.000664,               0.000664,               0.000664
                      2,                 1.6966,                  1.656,                  1.522,                0.33045,                0.43077,                0.29832,                0.16282,                 1.7794,                 2.2728,                 1.9072,              0.0013175,              0.0013175,              0.0013175
                      3,                 1.7293,                  1.641,                 1.5403,                0.47983,                0.44615,                0.40667,                0.20342,                 1.7426,                 2.5489,                 1.9334,              0.0019578,              0.0019578,              0.0019578
                      4,                  1.706,                 1.5901,                  1.539,                0.40131,                0.53077,                 0.4227,                0.24518,                 1.3703,                 2.3386,                 1.5559,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.6669,                 1.5253,                 1.5108,                0.56834,                0.54692,                0.51735,                0.30389,                 1.3723,                 1.5523,                 1.5365,              0.0019208,              0.0019208,              0.0019208
                      6,                  1.646,                 1.4499,                 1.4931,                0.62251,                    0.5,                0.50399,                0.30902,                 1.2301,                 1.7649,                 1.4337,               0.001901,               0.001901,               0.001901
                      7,                 1.6237,                 1.4325,                 1.4734,                0.67661,                0.61538,                0.67014,                0.43746,                 1.2204,                 1.3376,                 1.4583,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5988,                 1.3965,                 1.4647,                0.67221,                0.58367,                0.62675,                0.41284,                 1.1511,                  1.351,                 1.3693,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.5813,                 1.3595,                 1.4514,                0.57095,                0.56154,                0.59238,                0.38686,                 1.2249,                  1.636,                 1.4453,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.5627,                  1.328,                 1.4411,                0.68175,                0.52731,                0.57737,                 0.3902,                 1.2014,                 1.4527,                 1.4114,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.5389,                 1.2856,                 1.4133,                0.65443,                0.61538,                0.64838,                0.44691,                 1.0637,                 1.2368,                 1.3186,               0.001802,               0.001802,               0.001802
                     12,                 1.5325,                 1.2909,                 1.4241,                0.69071,                0.65385,                0.67262,                0.42688,                 1.1625,                 1.2758,                  1.334,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.5254,                 1.2725,                 1.4159,                0.72277,                0.60769,                0.64292,                0.43936,                 1.1106,                 1.2558,                 1.3407,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.5153,                 1.2513,                 1.4154,                0.72865,                0.60769,                0.66558,                0.44637,                 1.1546,                 1.1937,                 1.3434,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.5003,                 1.2374,                 1.3996,                0.65688,                0.61538,                0.67698,                0.47651,                 1.0614,                 1.1946,                 1.3005,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.5039,                 1.2289,                 1.4036,                0.69887,                0.66923,                0.68233,                0.49654,                0.99942,                  1.067,                 1.2261,               0.001703,               0.001703,               0.001703
                     17,                 1.4925,                 1.2059,                 1.3972,                0.67521,                0.63968,                0.65292,                0.44624,                 1.0578,                 1.2624,                 1.2816,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.4765,                 1.1765,                 1.3795,                0.73595,                0.66923,                0.67206,                0.46255,                 1.0938,                 1.1993,                 1.3295,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.4744,                 1.1783,                 1.3805,                0.77426,                0.54615,                0.67125,                0.47408,                 1.0596,                  1.185,                 1.2905,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.4688,                 1.1653,                 1.3732,                0.69926,                0.73077,                0.73206,                0.51211,                 1.0798,                 1.0626,                 1.3102,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.4649,                 1.1719,                 1.3687,                0.63508,                    0.7,                0.67921,                0.49457,                0.96855,                 1.0689,                  1.222,               0.001604,               0.001604,               0.001604
                     22,                 1.4567,                 1.1495,                 1.3613,                0.77962,                0.59231,                 0.6985,                0.50613,                0.99139,                 1.0847,                 1.1881,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.4462,                 1.1432,                 1.3619,                0.72565,                0.63846,                0.72841,                 0.5078,                 1.0542,                  1.059,                 1.2332,              0.0015644,              0.0015644,              0.0015644
                     24,                  1.452,                 1.1252,                 1.3639,                0.78098,                0.57604,                0.67876,                0.48718,                0.97732,                 1.0923,                 1.2144,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.4454,                 1.1079,                 1.3591,                0.73099,                0.62308,                0.70083,                0.48064,                 1.0565,                 1.1408,                  1.299,              0.0015248,              0.0015248,              0.0015248
                     26,                   1.43,                 1.1169,                  1.351,                0.73234,                0.66923,                0.68759,                0.47903,                 1.0513,                 1.0823,                 1.2762,               0.001505,               0.001505,               0.001505
                     27,                 1.4512,                 1.0986,                 1.3582,                0.73554,                0.68462,                0.72605,                0.51445,                0.98943,                 1.0479,                 1.1912,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.4158,                 1.0639,                 1.3407,                0.65732,                0.73846,                0.71134,                0.52423,                0.89982,                 1.0108,                 1.1977,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.4168,                 1.0744,                 1.3347,                  0.712,                0.70364,                0.68853,                0.50079,                  1.022,                  1.099,                 1.2409,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.4059,                  1.058,                 1.3291,                0.62923,                0.68462,                0.68831,                0.51938,                0.90183,                 1.0255,                 1.1734,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.4064,                 1.0629,                 1.3247,                0.80266,                0.64615,                0.74644,                0.53164,                0.95052,                0.96704,                 1.1624,               0.001406,               0.001406,               0.001406
                     32,                 1.4111,                 1.0525,                 1.3292,                0.74304,                0.68958,                0.74148,                0.53636,                0.93015,                 0.9652,                 1.1764,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.4131,                 1.0503,                 1.3338,                0.72543,                0.65385,                0.71997,                0.50351,                  1.002,                 1.0148,                 1.2457,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.3948,                 1.0391,                 1.3236,                0.77036,                0.69231,                0.71719,                0.53213,                  0.924,                 0.9941,                 1.1842,              0.0013466,              0.0013466,              0.0013466
